series_id                     ,year,period,       value
WPU01                         ,1981,M13,105.2
WPU01                         ,1982,M13,100
WPU01                         ,1983,M13,102.4
WPU01                         ,1984,M13,105.5
WPU01                         ,1985,M13,95.1
WPU01                         ,1986,M13,92.9
WPU01                         ,1987,M13,95.5
WPU01                         ,1988,M13,104.9
WPU01                         ,1989,M13,110.9
WPU01                         ,1990,M13,112.2
WPU01                         ,1991,M13,105.7
WPU01                         ,1992,M13,103.6
WPU01                         ,1993,M13,107.1
WPU01                         ,1994,M13,106.3
WPU01                         ,1995,M13,107.4
WPU01                         ,1996,M13,122.4
WPU01                         ,1997,M13,112.9
WPU01                         ,1998,M13,104.6
WPU01                         ,1999,M13,98.4
WPU01                         ,2000,M13,99.5
WPU01                         ,2001,M13,103.8
WPU01                         ,2002,M13,99
WPU01                         ,2003,M13,111.5
WPU01                         ,2004,M13,123.3
WPU01                         ,2005,M13,118.5
WPU01                         ,2006,M13,117
WPU01                         ,2007,M13,143.4
WPU01                         ,2008,M13,161.3
WPU01                         ,2009,M13,134.6
WPU01                         ,2010,M13,151
WPU01                         ,2011,M13,186.7
WPU01                         ,2012,M13,192.5
WPU01                         ,2013,M13,195.3
WPU01                         ,2014,M13,197.4
WPU01                         ,2015,M13,173.8
WPU01                         ,2016,M13,157
WPU01                         ,2017,M13,161.8
WPU01                         ,2018,M13,160.9
WPU01                         ,2019,M13,161.5
WPU01                         ,2020,M13,157.9
